SID,Name,Major
1366,Chai,San Joaquin Valley College-Ontario
1367,Chak-Hong,Everest University-North Orlando
1368,Champathon,Rudae's School of Beauty Culture-Ft Wayne
1369,Chan,CUNY Kingsborough Community College
1370,Chand,School of the Museum of Fine Arts at Tufts University
1371,Chanda,Blue Cliff College-Shreveport
1372,Chandal,South Coast College
1373,Chander,Adult and Community Education-Hudson
1374,Chandra,Purdue University-Main Campus
1375,Chandrakant,American InterContinental University-Houston
1376,Chandran,The Salon Professional Academy-Huntsville
1377,Chanh,Argosy University-Chicago
1378,Channa,Strayer University-Baymeadows Campus
1379,Chantal,Saline County Career Center
1380,Chantalle,The Temple Annapolis-A Paul Mitchell Partner School
1381,Charangit,Phillips Community College of the University of Arkansas
1382,Charee,Relay Graduate School of Education - Denver
1383,Charene,Fairfield University
1384,Charil,The College of Wooster
1385,Charin,Monroe Community College
1386,Charis,Northeastern Illinois University
1387,Charissa,The College of Wooster
1388,Charisse,Catholic Theological Union at Chicago
1389,Charita,East Mississippi Community College
1390,Charity,South Central  College-Faribault
1391,Charla,Angelo State University
1392,Charlean,Talmudical Seminary of Bobov
1393,Charleen,College of Eastern Idaho
1394,Charlena,Coachella Valley Beauty College-Beaumont
1395,Charlene,Marylhurst University
1396,Charles,North Florida Cosmetology Institute Inc
1397,Charleton,University of Arkansas Community College-Hope
1398,Charley,Virginia College-Mobile
1399,Charlie,Arkansas College of Barbering and Hair Design
1400,Charline,Mercy Hospital School of Nursing
1401,Charlot,Taylortown School of Beauty Inc
1402,Charlotta,Adult and Community Education-Hudson
1403,Charlotte,Golden State College of Court Reporting
1404,Charlsey,Hennepin Technical College
1405,Charly,Florida Gulf Coast University
1406,Charmain,Lindenwood University
1407,Charmaine,Sioux Falls Seminary
1408,Charman,Centro de Estudios Multidisciplinarios-San Juan
1409,Charmane,Brandeis University
1410,Charmian,Dickinson College
1411,Charmine,Madison Oneida BOCES-Practical Nursing Program
1412,Charmion,Regional Center for Border Health
1413,Charo,Columbia College-San Luis Obispo
1414,Charyl,IVAEM College
1415,Chastity,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies
1416,Chatri,Princess Beauty School
1417,Chau,Delmarva Beauty Academy
1418,Chawki,Fortis College
1419,Chee-Yin,Phillips Graduate University
1420,Chee-Yong,Sunstate Academy
1421,Chellappan,International Business College-El Paso
1422,Chelsae,Community College of Philadelphia
1423,Chelsea,Golf Academy of America-Phoenix
1424,Chelsey,Texas A & M University-Corpus Christi
1425,Chelsie,Laguna College of Art and Design
1426,Chelsy,Palm Beach State College
1427,Chen,Beauty Schools of America-Miami
1428,Chen-Chen,Milan Institute-Palm Desert
1429,Chen-Jung,Cameo Beauty Academy
1430,Cheng,Mount Aloysius College
1431,Cher,Full Sail University
1432,Chere,VICI Beauty School
1433,Cherey,Wittenberg University
1434,Cheri,Brown Mackie College-Oklahoma City
1435,Cherianne,Florida Career College-Boynton Beach
1436,Cherice,Paul Mitchell the School-Birmingham
1437,Cherida,Grace School of Theology
1438,Cherie,Allan Hancock College
1439,Cherilyn,Otterbein University
1440,Cherilynn,Green Country Technology Center
1441,Cherin,Teachers College of San Joaquin
1442,Cherise,Hairmasters Institute of Cosmetology
1443,Cherish,St. Mary's University
1444,Cherlyn,Aurora University
1445,Cherri,Automeca Technical College-Caguas
1446,Cherrita,Acaydia School of Aesthetics
1447,Cherry,Reid State Technical College
1448,Chery,Baldwin Beauty School-North Austin
1449,Cherye,Austin Peay State University
1450,Cheryl,The University of Montana - Missoula College
1451,Cheslie,Everglades University
1452,Chesteen,Southern California University SOMA
1453,Chester,Sheridan College
1454,Chet,Episcopal Divinity School
1455,Cheuk,DeVry University-Tennessee
1456,Chi,Paul Mitchell the School-Normal
1457,Chi-Keung,Danville Regional Medical Center School of Health Professions
1458,Chi-Kwan,Florida State College at Jacksonville
1459,Chi-Man,Wood Tobe-Coburn School
1460,Chi-Vien,Western Seminary
1461,Chi-Yin,Coba Academy
1462,Chi-ho,Kaplan University-Lincoln Campus
1463,Chiarra,University of Phoenix-Tennessee
1464,Chick,Carrington College-Citrus Heights
1465,Chickie,Platt College-North OKC
1466,Chicky,West Texas A & M University
1467,Chie,Paul Mitchell the School-Provo
1468,Chin,Hope International University
1469,ChinFui,Ross Medical Education Center-Roosevelt Park
1470,Ching-Long,College of Southern Nevada
1471,Chip,Ancilla College
1472,Chiquia,Baker College of Clinton Township
1473,Chiquita,American InterContinental University-Atlanta
1474,Chitra,Berkeley City College
1475,Chiu,Automeca Technical College-Bayamon
1476,Chlo,Hampton University
1477,Chloe,Bon Secours St Mary's Hospital School of Medical Imaging
1478,Chloette,Milan Institute-Merced
1479,Chloris,San Francisco Conservatory of Music
1480,Cho,CET-San Diego
1481,Cho-Kuen,Bitterroot School of Cosmetology
1482,Cho-Lun,Mercer University
1483,Chocs,Bethany College
1484,Chok,D'Youville College
1485,Chong,Sylvain Melloul International Hair Academy
1486,Chong-Lai,Erie Community College
1487,Choon-Lin,Mount Wachusett Community College
1488,Chris,Demmons School of Beauty
1489,Chrissie,College of Biblical Studies-Houston
1490,Chrissy,Emory University
1491,Christa,California Institute of the Arts
1492,Christabel,York College
1493,Christabella,Utah Valley University
1494,Christal,Eastern College of Health Vocations-New Orleans
1495,Christalle,Kentucky Mountain Bible College
1496,Christan,Columbus College of Art and Design
1497,Christean,Butler University
1498,Christel,John Tyler Community College
1499,Christelle,Treasure Valley Community College
1500,Christen,Sarah Lawrence College
1501,Christer,Westminster College
1502,Christi,Dean College
1503,Christian,Euphoria Institute of Beauty Arts & Sciences-Summerlin
1504,Christiana,University of Oklahoma - Ft. Benning GA - AP
1505,Christiane,Old Dominion University
1506,Christianne,MTI Business College Inc
1507,Christie,Hellenic College-Holy Cross Greek Orthodox School of Theology
1508,Christie-Anne,Wichita Technical Institute
1509,Christin,Gnomon School of Visual Effects
1510,Christina,Troy University-Online
1511,Christine,Kehilath Yakov Rabbinical Seminary
1512,Christoph,Amridge University
1513,Christophe,Spa Tech Institute-Plymouth
1514,Christopher,FIDM-Fashion Institute of Design & Merchandising-Los Angeles
1515,Christy,Instituto de Banca y Comercio Inc
1516,Christye,Unitek College
1517,Christyna,Interior Designers Institute
1518,Chrysa,Phagans Grants Pass College of Beauty
1519,Chrysler,Fisher College
1520,Chrystal,Minnesota State University Moorhead
1521,Chryste,Millsaps College
1522,Chrystel,Blue Cliff Career College
1523,Chu-Chay,Coe College
1524,Chuan,Central Ohio Technical College
1525,Chuck,Consolidated School of Business-Lancaster
1526,Chun,Cleveland Institute of Music
1527,Chung,Bais Binyomin Academy
1528,Chung-Cheung,Salon Academy
1529,Chung-Wo,Paul Mitchell the School-Webster
1530,Chung-Yo,Helene Fuld College of Nursing
1531,Chungsik,Oliver Finley Academy of Cosmetology
1532,Chunmeng,Colegio Mayor de Tecnologia Inc
1533,Chye-Lian,Abdill Career College Inc
1534,Ciaran,International Academy
1535,Cicely,Trocaire College
1536,Cicily,Coastal Pines Technical College
1537,Ciel,Beauty Schools of America-Hialeah
1538,Cilka,Seminar L'moros Bais Yaakov
1539,Cinda,Cankdeska Cikana Community College
1540,Cindee,Institute of Advanced Medical Esthetics
1541,Cindelyn,Finger Lakes School of Massage
1542,Cinderella,SUNY Cortland
1543,Cindi,Waubonsee Community College
1544,Cindie,Northwestern Oklahoma State University
1545,Cindra,Florida Career College-Houston Campus
1546,Cindy,University of Arkansas Community College Rich Mountain
1547,Cinnamon,Pratt Institute-Main
1548,Ciriaco,Marywood University
1549,Cissiee,Highland Community College
1550,Cissy,Eastern Illinois University
1551,Clair,American Academy of Cosmetology
1552,Claire,Saint Ambrose University
1553,Clara,New England Center
1554,Clarabelle,Central Yeshiva Tomchei Tmimim Lubavitz
1555,Clare,University of Valley Forge
1556,Clarence,Saint Johns University
1557,Claresta,School of Visual Arts
1558,Clareta,Cosmetology School of Arts and Science LLC
1559,Claretta,Victoria College
1560,Clarette,Francois D College of Hair Skin and Nails
1561,Clarey,Vatterott College-Quincy
1562,Clari,Northwest Kansas Technical College
1563,Claribel,Nova College de Puerto Rico
1564,Clarice,MJ's Beauty Academy Inc
1565,Clarie,Hinton Barber and Beauty College
1566,Clarinda,College of the Desert
1567,Clarine,SUNY Broome Community College
1568,Clarissa,Aveda Institute-Tallahassee
1569,Clarisse,Fortis Institute-Pensacola
1570,Clarita,Iona College
1571,Clark,Strayer University-Rockville Campus
1572,Clarke,New Concept Massage and Beauty School
1573,Clary,University of Louisville
1574,Class,Saint Vincent Seminary
1575,Claude,Immokalee Technical College
1576,Claudelle,Virginia Wesleyan University
1577,Claudetta,Southwestern Oklahoma State University
1578,Claudette,ATA College
1579,Claudia,Longy School of Music of Bard College
1580,Claudie,Central Georgia Technical College
1581,Claudina,Medical Professional Institute
1582,Claudine,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary
1583,Claus,Delta State University
1584,Clay,Royale College of Beauty and Barbering
1585,Clayton,William Carey University
1586,Clea,Akron School of Practical Nursing
1587,Clem,Keiser University-Port St Lucie
1588,Clemence,DeVry University-Texas
1589,Clement,Reformed Presbyterian Theological Seminary
1590,Clemente,American Advanced Technicians Institute
1591,Clementia,Solano Community College
1592,Clementina,Florida Career College
1593,Clementine,Northwest Vista College
1594,Clemie,Eastern University
1595,Clemmie,Kaplan College-Lubbock
1596,Clemmy,Piedmont College
1597,Cleo,Adventist University of Health Sciences
1598,Cleopatra,North-West College-Glendale
1599,Clerissa,Thunderbird School of Global Management
1600,Clestell,DeVry University-Ohio
1601,Cleto,Odessa College
1602,Cleve,Moreno Valley College
1603,Cleveland,Lil Lou's Beauty and Barber College-Portage
1604,Clevon,Saint Anthony College of Nursing - Highland Community College Campus
1605,Cliff,Edinboro University of Pennsylvania
1606,Clifford,Flint Hills Technical College
1607,Clifton,Somerset County Technology Center - Bedford Site
1608,Clint,University of Puerto Rico-Rio Piedras
1609,Clinton,Welder Training and Testing Institute
1610,Clio,Metroplex Beauty School
1611,Clive,Arizona State University-Tempe
1612,Clo,Harding School of Theology
1613,Cloe,Rocky Vista University
1614,Cloris,The University of the Arts
1615,Clotilda,Golf Academy of America-Dallas
1616,Clovis,South University-Novi
1617,Clyde,South University–Richmond
1618,Co,Shear Finesse Hairstyling Academy
1619,Co-Op,Harvey Mudd College
1620,Cocos,Conservatory of Recording Arts and Sciences
1621,Code,Sunstate Academy
1622,Codee,Montessori Casa International
1623,Codi,Monroe 2 Orleans BOCES-Center for Workforce Development
1624,Codie,Amridge University
1625,Cody,Clark College
1626,Coila,Cedarville University
1627,Cole,Claremore Beauty College
1628,Coleen,Middle Tennessee School of Anesthesia Inc
1629,Coleman,Copiah-Lincoln Community College Simpson County Center
1630,Colene,MTI College
1631,Coletta,Empire Beauty School-Hanover Park
1632,Colette,Brightwood College-Arlington
1633,Colin,Sanford-Brown College-Chicago
1634,Colleen,Arizona College-Mesa
1635,Collen,Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary
1636,Collete,Centura College-Norfolk
1637,Collette,Professional Hands Institute
1638,Colli,Caribbean University-Vega Baja
1639,Collie,Boston College
1640,Colline,CC's Cosmetology College
1641,Colly,Cleveland State Community College
1642,Colm,Northwest-Shoals Community College
1643,Colman,Midwest Technical Institute-Springfield
1644,Con,Med Academy
1645,Concetta,HDS Truck Driving Institute
1646,Concettina,Palm Beach Atlantic University
1647,Conchita,John Tyler Community College
1648,Concordia,Indian Capital Technology Center-Sallisaw
1649,Condell,New Concept Massage and Beauty School
1650,Cong,Ilisagvik College
1651,Conni,Gustavus Adolphus College
1652,Connie,Futura Career Institute
1653,Conny,Stevenson University
1654,Conrad,California Christian College
1655,Conserving,Columbia College - Saint Louis
1656,Consolata,Mind Body Institute
1657,Constance,Acupuncture and Integrative Medicine College-Berkeley
1658,Constancia,Solano Community College
1659,Constancy,Pike-Lincoln Technical Center
1660,Constanta,Oklahoma Wesleyan University
1661,Constantia,Hesston College
1662,Constantin,Hamilton College
1663,Constantina,DLP Conemaugh Memorial Medical Center
1664,Constantine,Rochester Institute of Technology
1665,Consuela,Fortis College-Foley
1666,Consuelo,University of Providence
1667,Conway,Reflections Academy of Beauty
1668,Cookie,J. F. Drake State Community and Technical College
1669,Cooney,Connecticut Center for Massage Therapy-Westport
1670,Coop,Trumbull Career & Technical Center
1671,Cooper,Bastyr University
1672,Coord,Touro University Worldwide
1673,Coors,Porter and Chester Institute of Watertown
1674,Cora,Yo San University of Traditional Chinese Medicine
1675,Corabel,University of Houston-Clear Lake
1676,Corabella,West Tennessee Business College
1677,Corabelle,John Wesley International Barber and Beauty College
1678,Coral,Western Technical College
1679,Coralie,Lincoln Technical Institute-New Britain
1680,Coraline,Strayer University-Baymeadows Campus
1681,Coralyn,Dyersburg State Community College
1682,Cordelia,Adams State University
1683,Cordelie,Lindenwood University-Belleville
1684,Cordey,American University of Puerto Rico
1685,Cordi,Phoenix Seminary
1686,Cordie,Cecil College
1687,Cordula,Lincoln Technical Institute-Whitestone
1688,Cordy,Azusa Pacific University College
1689,Core,CUNY New York City College of Technology
1690,Coreen,Atlantis University
1691,Corella,Broadview University-West Jordan
1692,Corena,Marymount California University - Lakeside Campus
1693,Corenda,DeVry University-Pennsylvania
1694,Corene,Miller-Motte Technical College-Clarksville
1695,Coretta,Somerset County Technology Center - Bedford Site
1696,Corette,Cloyd's Barber School 2 Inc
1697,Corey,Institute of Professional Careers
1698,Cori,Valley College-Martinsburg
1699,Corie,Yeshiva Shaar Hatorah
1700,Corilla,Rio Hondo College
1701,Corina,Bucks County School of Beauty Culture Inc
1702,Corine,Hebrew Union College-Jewish Institute of Religion-Cincinnati
1703,Corinna,Paul Mitchell the School-Lexington
1704,Corinne,Le Cordon Bleu College of Culinary Arts-Sacramento
1705,Coriss,Wentworth Institute of Technology
1706,Corissa,Dorsey Business Schools-Saginaw
1707,Corkstown,South Georgia Technical College
1708,Corliss,Bryant & Stratton College-Milwaukee
1709,Corly,International Professional School of Bodywork
1710,Cornel,Florida School of Traditional Midwifery
1711,Cornela,Central Texas Beauty College-Round Rock
1712,Cornelia,San Joaquin Valley College-Modesto
1713,Cornelis,Bryant & Stratton College-Wauwatosa
1714,Cornelius,Rabbinical College of Ohr Shimon Yisroel
1715,Cornelle,Douglas Education Center
1716,Cornie,Oxford Academy of Hair Design Inc
1717,Corny,Delta Technical College
1718,Correna,Abington Memorial Hospital Dixon School of Nursing
1719,Correy,Institute of Professional Careers
1720,Corri,Concordia College-New York
1721,Corrianne,Daymar College-Bellevue
1722,Corrie,Central Baptist College
1723,Corrina,Emory University-Oxford College
1724,Corrine,MIAT College of Technology
1725,Corrinne,The Vocational Nursing Institute Inc
1726,Corry,St Margaret School of Nursing
1727,Cortland,Educational Technical College-Recinto de Coamo
1728,Cortney,Moore Norman Technology Center
1729,Cory,National Park College
1730,Cosetta,Ivy Tech Community College-Northcentral
1731,Cosette,Springfield Technical Community College
1732,Cosimo,All Beauty College
1733,Cosola,Capri College-Dubuque
1734,Costanza,Allen School-Brooklyn
1735,Costas,Rob Roy Academy-Taunton
1736,Costas-Dinos,Lincoln Technical Institute-Lincoln
1737,Count,Skinworks School of Advanced Skincare
1738,Coursdev,Bethany Lutheran College
1739,Coursey,Tennessee College of Applied Technology-Jacksboro -
1740,Court,Paul Mitchell the School-Murfreesboro
1741,Courtenay,Mineral County Vocational Technical Center
1742,Courtnay,Empire Beauty School-West Mifflin
1743,Courtney,New York Automotive and Diesel Institute
1744,Craig,John Paul the Great Catholic University
1745,Crawford,Lock Haven University
1746,Crin,Pennsylvania State University-Dickinson Law
1747,Cris,South Texas Vocational Technical Institute-McAllen
1748,Crissie,Bet Medrash Gadol Ateret Torah
1749,Crissy,Otsego Area BOCES-Practical Nursing Program
1750,Crista,Savannah State University
1751,Cristabel,Allen County Community College
1752,Cristal,Grossmont College
1753,Cristen,Beckfield College-Florence
1754,Cristi,Toni & Guy Hairdressing Academy-Jacksonville
1755,Cristian,California Beauty School
1756,Cristiane,Los Angeles Harbor College
1757,Cristie,South Hills School of Business & Technology
1758,Cristin,Aveda Institute-Phoenix
1759,Cristina,Lane Community College
1760,Cristine,Tulane University of Louisiana
1761,Cristionna,Elaine Steven Beauty College
1762,Cristofaro,Atelier Esthetique Institute of Esthetics
1763,Cristy,Brightwood College-Las Vegas
1764,Croix,College of Court Reporting Inc
1765,Crysta,New Tyler Barber College Inc
1766,Crystal,Bryan University
1767,CrystalBay,Toni & Guy Hairdressing Academy-Plano
1768,Crystie,Warner Pacific College
1769,Cthrine,Touro University Worldwide
1770,Cubical,Bidwell Training Center Inc
1771,Cubicle,Yeshiva D'monsey Rabbinical College
1772,Cuong,Seattle Pacific University
1773,Curt,University of the Virgin Islands-Albert A. Sheen
1774,Curtis,University of Pittsburgh-Greensburg
1775,Cuthbert,McPherson College
1776,Cyb,Gettysburg College
1777,Cybil,Ross Medical Education Center-Port Huron
1778,Cybill,Columbia Institute
1779,Cycelia,Dragon Rises College of Oriental Medicine
1780,Cymbre,University of Minnesota-Duluth
1781,Cynde,Vogue College of Cosmetology-McAllen
1782,Cyndi,Tricoci University of Beauty Culture-Rockford
1783,Cyndia,Rhode Island School of Design
1784,Cyndie,International Culinary Center-California
1785,Cyndy,Notre Dame College
1786,Cynethia,Ralph R Willis Career and Technical Center
1787,Cynthea,Divine Word College
1788,Cynthia,Saint Meinrad School of Theology
1789,Cynthie,National Graduate School of Quality Management
1790,Cynthy,GDS Institute
1791,Cynthya,Dabney S Lancaster Community College
1792,Cyril,Paine College
1793,Cyrine,Daymar College-Owensboro
1794,Cyrus,Sandra Academy of Salon Service
1795,Czes,Wytheville Community College
1796,D'Anne,Reading Hospital School of Health Sciences
1797,Dacey,International Institute of Cosmetology
1798,Dacia,Arkansas College of Barbering and Hair Design
1799,Dacie,Feather River Community College District
1800,Dacy,Blessing Hospital School of Medical Laboratory Technology
1801,Dae,Lane College
1802,Dael,Pittsburg State University
1803,Daffi,Fortis Institute-Houston
1804,Daffie,Sentara College of Health Sciences
1805,Daffy,Colgate Rochester Crozer Divinity School
1806,Dagmar,Ellsworth Community College
1807,Dahlia,Paul Mitchell the School-Murfreesboro
1808,Daile,Community College of Rhode Island
1809,Daisey,Fortis College
1810,Daisi,Treasure Valley Community College
1811,Daisie,Clarion County Career Center Practical Nursing Program
1812,Daisy,Felbry College School of Nursing
1813,Dale,Connecticut Center for Massage Therapy-Westport
1814,Dalenna,Gwinnett Technical College
1815,Dalia,United Education Institute-El Monte
1816,Dalila,Flint Hills Technical College
1817,Dalip,Ursinus College
1818,Dallas,International Business College-Indianapolis
1819,Daloris,State College of Florida-Manatee-Sarasota
1820,Dalton,Blades School of Hair Design
1821,Damara,PJ's College of Cosmetology-Crestwood
1822,Damaris,Inter American University of Puerto Rico-Arecibo
1823,Damian,YTI Career Institute-York
1824,Damien,Bet Medrash Gadol Ateret Torah
1825,Damil,Westfield State University
1826,Damita,East Central Community College
1827,Damon,Norwich University
1828,Dan,Spartan College of Aeronautics & Technology
1829,Dana,Baptist University of the Americas
1830,Danell,Benedictine College
1831,Danella,Franciscan School of Theology
1832,Danette,NorthShore University HealthSystem School of Nurse Anesthesia
1833,Dani,Phagans Newport Academy of Cosmetology Careers
1834,Dania,National American University-Roseville
1835,Danial,Empire Beauty School-Chenoweth
1836,Danica,ATA Career Education
1837,Danice,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies
1838,Daniel,Warrensburg Area Career Center
1839,Daniela,Manhattanville College
1840,Daniele,Laney College
1841,Daniella,Life Chiropractic College West
1842,Danielle,Roberts Wesleyan College
1843,Danika,Vatterott College-Dividend
1844,Danila,Aveda Institute-Minneapolis
1845,Danilo,Toccoa Falls College
1846,Danit,Winebrenner Theological Seminary
1847,Danita,The Salter School-Malden Campus
1848,Danna,Lancaster Theological Seminary
1849,Danni,FINE Mortuary College
1850,Dannie,Empire Beauty School-Chenoweth
1851,Danny,Concord University
1852,Dannye,CC's Cosmetology College
1853,Dante,Jefferson Community College
1854,Dany,St Lawrence University
1855,Danya,Toledo Public Schools Adult and Continuing Education
1856,Danyelle,Loyola University New Orleans
1857,Danyette,Saint Michael's College
1858,Daphene,Brown Mackie College-Louisville
1859,Daphine,University of Mobile
1860,Daphna,Platt College-San Diego
1861,Daphne,Four County Career Center
1862,Dara,Charter Oak State College
1863,Darb,DiGrigoli School of Cosmetology
1864,Darbie,Georgia Christian University
1865,Darby,Golden Gate University-Los Angeles
1866,Darcee,Southwest Technology Center
1867,Darcey,Lee University
1868,Darci,Dorsey Business Schools-Southgate
1869,Darcie,American University of Puerto Rico
1870,Darcy,Ellsworth Community College
1871,Darda,Massachusetts Maritime Academy
1872,Dareen,Hair Academy
1873,Darell,Los Angeles Southwest College
1874,Darelle,The Art Institute of Houston
1875,Dari,Ultimate Medical Academy-Clearwater
1876,Daria,Brown Mackie College-Oklahoma City
1877,Darice,The Salon Professional Academy
1878,Darina,Missouri University of Science and Technology
1879,Darko,West Virginia University
1880,Darla,Champion Institute of Cosmetology
1881,Darleen,Ross Medical Education Center-Dayton
1882,Darlene,Western New England University
1883,Darline,Siena College
1884,Darlleen,South University–Virginia Beach
1885,Darnell,The Professional Hair Design Academy
1886,Daron,Ross Medical Education Center-Roosevelt Park
1887,Darrel,Amridge University
1888,Darrell,Tennessee College of Applied Technology Nashville
1889,Darrelle,Cayuga County Community College
1890,Darren,Strayer University-Newport News Campus
1891,Darrin,St Bonaventure University
1892,Darrol,Virginia College-Montgomery
1893,Darry,Troy University
1894,Darryl,All Beauty College
1895,Darsey,Tennessee College of Applied Technology-Crump
1896,Darsie,Houston Baptist University
1897,Darwin,Casper College
1898,Darya,Finger Lakes Community College
1899,Daryl,University of Wisconsin-Eau Claire
1900,Daryn,Delta Montrose Technical College
1901,Dasha,Nazarene Bible College
1902,Dasi,Onondaga School of Therapeutic Massage-Rochester
1903,Dasie,Purdue University - Purdue Polytechnic Anderson
1904,Dasya,Columbia College - Lake County
1905,Dat,The Art Institute of Houston
1906,Data,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary
1907,Datas,Florida College of Natural Health-Maitland
1908,Datha,Nossi College of Art
1909,Dau,Northwest Kansas Technical College
1910,Daune,Salon Success Academy-Upland
1911,Dave,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division
1912,Daveen,Methodist College
1913,Daveta,Hinton Barber and Beauty College
1914,David,Fort Peck Community College
1915,Davida,Empire Beauty School-Cincinnati
1916,Davina,Hacienda La Puente Adult Education
1917,Davinder,Mitchell Hamline School of Law
1918,Davine,The College of Health Care Professions-Southwest Houston
1919,Davis,Headmasters School of Hair Design
1920,Davita,Joliet Junior College
1921,Dawn,Five Towns College
1922,Dawna,American Film Institute Conservatory
1923,Daya,Greene County Career and Technology Center
1924,Dayle,SABER College
1925,Dayna,Brown Mackie College-San Antonio
1926,Dayton,Columbia College-Hunter Army Airfield
1927,Ddene,The Art Institute of Virginia Beach
1928,De,Upper Iowa University
1929,De-Anna,Minnesota School of Cosmetology-Plymouth Campus
1930,DeAnne,Graduate Theological Union
1931,DeWayne,Colorado Academy of Veterinary Technology
1932,Dean,Everglades University - Tampa
1933,Deana,Utah College of Massage Therapy-Dallas
1934,Deane,Platt College-Los Angeles
1935,Deann,Wilberforce University
1936,Deanna,Glenville State College
1937,Deanne,Macomb Community College
1938,Dear,Cosmetology Academy of Texarkana
1939,Deb,Oklahoma State University-Oklahoma City
1940,Debadeep,Texas College of Cosmetology-Lubbock
1941,Debbi,Stone Academy-West Haven
1942,Debbie,Blessing Hospital School of Medical Laboratory Technology
1943,Debby,Youngstown State University
1944,Debee,Bryant & Stratton College-Parma
1945,Debera,Soka University of America
1946,Debi,Aveda Institute-South Florida
1947,Debor,Empire Beauty School-Nashville
1948,Debora,Vatterott College-Sunset Hills
1949,Deborah,Mississippi College of Beauty Culture
1950,Debra,Illinois Valley Community College
1951,Declan,Oklahoma Technical College
1952,Dede,Williams College
1953,Dedie,Syracuse University
1954,Dedra,Rochester Institute of Technology
1955,Dee,University of La Verne
1956,Dee dee,Fortis College-Montgomery
1957,DeeAnn,South Florida Bible College and Theological Seminary
1958,Deeann,University of St Augustine for Health Sciences
1959,Deeanne,Pratt Manhattan-A Division of Pratt Institute
1960,Deedee,Galveston College
1961,Deena,Lynchburg College
1962,Deepak,Adler Graduate School
1963,Deerdre,Spartan College of Aeronautics & Technology
1964,Deeyn,Southern Careers Institute-San Antonio
1965,Dehlia,South Suburban College
1966,Deidre,Regional West Medical Center School of Radiologic Technology
1967,Deina,Instituto de Banca y Comercio Inc
1968,Deirdre,Salon Success Academy-Riverside
1969,Del,Long Beach City College
1970,Dela,Clarendon College
1971,Delancey,University of West Georgia
1972,Delbert,American College of Hair Design Inc
1973,Delcina,Kaplan University-Omaha Campus
1974,Delcine,Evans Hairstyling College-Cedar City
1975,Delfin,Ross College-Sylvania
1976,Delia,Broken Arrow Beauty College-Broken Arrow
1977,Delila,Milan Institute of Cosmetology-Amarillo
1978,Delilah,Mid Michigan Community College
1979,Delinda,Southern Illinois University-Carbondale
1980,Delisle,Colegio de Cinematografía Artes y Television
1981,Dell,Paul Mitchell the School-Provo
1982,Della,The Salon Professional Academy
1983,Delle,Holy Names University
1984,Delly,Hopkinsville Community College
1985,Delmar,Aveda Institute-Twin Falls
1986,Delora,Tuskegee University
1987,Delores,University of Washington-Tacoma Campus
1988,Deloria,Family of Faith Christian University
1989,Deloris,Walla Walla Community College
1990,Delphine,Minerva Schools at Keck Graduate Institute
1991,Delphinia,Western Michigan University
1992,Demet,Aveda Institute-South Florida
1993,Demeter,Pennsylvania State University-Penn State Harrisburg
1994,Demetra,VanderCook College of Music
1995,Demetre,Liceo de Arte y Tecnologia
1996,Demetri,Hope College of Arts and Sciences
1997,Demetria,Skagit Valley College
1998,Demetris,Baker University
1999,Demi,Silver Lake College of the Holy Family
2000,Den,Jackson State University
2001,Dena,Cisco College
2002,Deni,ECPI University-Virginia Beach Health Sciences
2003,Denice,Stony Brook University
2004,Deniece,CUNY Graduate School and University Center
2005,Denis,Park Place Premier Barber School
2006,Denise,City Colleges of Chicago-Richard J Daley College
2007,Denna,Southern Careers Institute-Corpus Christi
2008,Denni,Mount Wachusett Community College
2009,Dennie,The  Beauty Institute
2010,Dennis,Academy of Vocal Arts
2011,Denny,Columbia College - Saint Louis
2012,Denver,Dayton School of Medical Massage
2013,Deny,Empire Beauty School-Virginia Beach
2014,Denys,Midwest Technical Institute-Moline
2015,Denyse,Columbia College - Salt Lake
2016,Denzil,National Personal Training Institute of Massachusetts
2017,Deonne,Clovis Community College
2018,Dept,Academy of Professional Cosmetology
2019,Der,David's Academy of Beauty
2020,Der-Chang,Universidad del Turabo
2021,Derek,Ottawa University-Phoenix
2022,Deri,FINE Mortuary College
2023,Derick,International Air and Hospitality Academy
2024,Derin,York College of Pennsylvania
2025,Dermot,College of Southern Nevada
2026,Derrick,Oxford Graduate School
2027,Derrik,Minneapolis College of Art and Design
2028,Deryck,Milan Institute of Cosmetology-San Antonio Military
2029,Des,National American University-Roseville
2030,Desdemona,Wesleyan College
2031,Design,Beauty Schools of America-Hialeah
2032,Desirae,Harris School of Business-Wilmington Campus
2033,Desire,Central College
2034,Desiree,Shear Ego International School of Hair Design
2035,Desiri,Baylor University
2036,Desmond,Northern Baptist Theological Seminary
2037,Detlef,Grace School of Theology
2038,Detlev,Massachusetts College of Art and Design
2039,Dev,Trinity Bible College and Graduate School
2040,Deva,Medical Allied Career Center
2041,Devan,Colorado Academy of Veterinary Technology
2042,Devi,California Beauty School
2043,Devin,Brightwood Career Institute-Broomall
2044,Devina,University of Colorado Boulder
2045,Devinne,Celebrity School of Beauty - Hialeah
2046,Devon,Bloomsburg University of Pennsylvania
2047,Devondra,Hands on Therapy
